"from","from_id","id","message","picture","link","name","description","type","created_time","shares","likes","loves","wows","hahas","sads","angrys"
"Foody.vn","_210695369058001","210695369058001_1671544092973114","[Hú hét sung sướng 'HÀNG CHỤC MÓN ĂN VẶT' cho ngày chay đỡ buồn miệng]

Chi tiết: https://goo.gl/KcVFmR

Ai nói ăn chay là hổng có món gì ngon để ăn đâu, coi BST này là thích liền: bánh tráng trộn chay, xôi sầu riêng, bánh bắp chiên... hết buồn miệng nhé!","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/33962358_1671531929640997_6765857149550592000_n.jpg?_nc_cat=0&oh=a4176c58d684996d2d44a3a14d62dff0&oe=5B83A5D2","https://www.facebook.com/FoodyVietnam/photos/a.426594680801401.1073741873.210695369058001/1671531926307664/?type=3","Photos from Foody.vn's post","","photo","2018-05-29T04:26:43+0000","2","79","2","1","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1670746183052905","[Đột nhập về tuổi thơ với 'THIÊN ĐƯỜNG ĂN VẶT' ngon sạch - Ưu đãi 30%]

👉Đặt món ship tận nơi: https://goo.gl/YhfqYT
(❗Nhập mã THANHNGOC30 để được giảm 30%❗)

Cả một thiên đường ăn vặt ngon - sạch làm tại nhà siêu gần gũi là đây, nào là bánh tráng, khô gà, rong biển, cao quy linh, chè bánh lọt sương sáo...có hết!! Đặc biệt nhất quán còn bán thốt nốt hay hạt đác tươi 100% không khỏi thèm thuồng hà.
----------
✅Free Ship (tối đa 20k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/31046100_1670748976385959_31573258075635712_n.jpg?_nc_cat=0&oh=95bc1b4f785e385005ee399cfdfc88cf&oe=5BBDDF6A","https://www.facebook.com/FoodyVietnam/videos/1670746183052905/","Đột nhập về tuổi thơ với 'THIÊN ĐƯỜNG ĂN VẶT' ngon sạch - Ưu đãi 30%","","video","2018-05-29T04:00:00+0000","3","41","5","0","1","0","1"
"Foody.vn","_210695369058001","210695369058001_1663879283739595","[Nhậu tới 4h sáng 'QUÁN NƯỚNG CHẤT CHƠI' nhiều món ngon]

Địa chỉ: https://goo.gl/3BvZgT

Quán mở tới 4h sáng lận, không gian đèn vàng ấm cúng, cú đêm tha hồ ăn chơi nhảy múa thoải mái nè. Menu đồ nướng, cháy tỏi, chiên mắm chất lượng mà giá rất ok, giảm 10% khi book bàn trước nha.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/29785116_1663900117070845_5729733290533847040_n.jpg?_nc_cat=0&oh=64e0ae58483f46610f65bdb9ce651178&oe=5BBCB9C0","https://www.facebook.com/FoodyVietnam/videos/1663879283739595/","Quán nướng chất chơi","","video","2018-05-29T03:00:00+0000","8","173","7","1","2","0","1"
"Foody.vn","_210695369058001","210695369058001_1671016966359160","[Rinh ngay kẻo lỡ 'TRÀ SỮA - SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN' Giảm đến 40%]

👉Đặt món tại: https://goo.gl/6tGxWA
(Nhập mã TCDD40 để được giảm ngay 40% nhé)

Tèn ten!! Tin nóng 1000 độ nha bà con, duy nhất ngày 29/05 khi có đến 18 thương hiệu 'Trà Sữa - Sữa Tươi Trân Châu Đường Đen' ngon có tiếng đang giảm giá 40%. Mau rủ rê đồng bọn order những ly sữa tươi mát lạnh nhai trân châu sướng miệng thì thích hết ý nhỉ?
-------------
✅Free Ship (tối đa 20k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/32039886_1671017633025760_5833160007146799104_n.jpg?_nc_cat=0&oh=6e93364abd8128e76c5a3a2e23d9bf1f&oe=5B7A9E75","https://www.facebook.com/FoodyVietnam/videos/1671016476359209/","Photos from Foody.vn's post","","video","2018-05-29T02:30:41+0000","74","673","32","0","3","0","0"
"Foody.vn","_210695369058001","210695369058001_1670533579740832","[Ngon muốn lịm đi 'SASHIMI SIÊU TƯƠI' béo ngậy từng miếng]

Địa chỉ: https://goo.gl/9GuFJv

Nhà hàng nằm ngay Q.1, không gian nhỏ xinh decor đậm phong cách Nhật. Ở đây sashimi siêu tươi và đa dạng, trang trí bắt mắt cực kì luôn, đặc biệt mù tạc mài từ củ cay ngon hết ý.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/29770487_1670559279738262_3522290799570059264_n.jpg?_nc_cat=0&oh=70f96f44cc3e3fab3992aec25449afd1&oe=5BC082A2","https://www.facebook.com/FoodyVietnam/videos/1670533579740832/","Sashimi tươi ngon","","video","2018-05-29T02:00:00+0000","9","197","9","1","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1670729639721226","[Chiêu đãi bao tử BURGER, SANDWICH dày chín tầng mây bao no cành hông]

Đặt món: https://goo.gl/SVuv88
Nhìn thấy cái sandwich thôi là tá hỏa liền vì độ dày của bánh, tầng tầng lớp lớp rau, jambon, trứng, sốt đủ loại hòa quyện. Cắn 1 miếng sốt như tan chảy trong miệng. Còn burger thích nhất là lớp thịt thơm lừng cực bắt vị. Order ăn liền cho nóng nào!
--------------
* Nhập mã BUAAN50 giảm 50% khi order qua Now.vn.
* Áp dụng cho mọi đơn hàng, giảm tối đa 100k.
* Tặng 1 chai trà fuzetea cho mọi đơn hàng.","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/33685726_1670728516388005_2339984301250052096_n.jpg?_nc_cat=0&oh=7306e8be353126ac8a9ea77d51e7685a&oe=5B8B0E3D","https://www.facebook.com/FoodyVietnam/photos/a.215488901911981.46885.210695369058001/1670728513054672/?type=3","Photos from Foody.vn's post","","photo","2018-05-29T01:30:00+0000","3","76","12","1","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1670585093069014","[Tiếng lành đồn xa '4 NGÔI CHÙA ĐỘC ĐÁO' linh thiêng nhất Sài Gòn]

Chi tiết: https://goo.gl/3gaZdq

Hôm nay bạn nào dự định đi chùa mừng Lễ Phật Đản thì tham khảo nè, mấy ngôi chùa này vừa có kiến trúc độc đáo vừa linh thiêng có tiếng khắp Sài Gòn, rủ cả gia đình mình đi chung luôn.","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/30972716_1670585666402290_6666595584847118336_n.jpg?_nc_cat=0&oh=f7bf80f7b1657361df0797879fb15506&oe=5B7D586E","https://www.facebook.com/FoodyVietnam/videos/1670584939735696/","Photos from Foody.vn's post","","video","2018-05-29T01:00:52+0000","130","762","48","2","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1670599139734276","[Cứ điểm mua MỸ PHẨM GIÁ RẺ DƯỚI 50K bỏ đầy giỏ mang về]

Địa chỉ: https://goo.gl/gHrYix
Bước vào cửa hàng tràn ngập mỹ phẩm như thiên đường của các cô gái mà có nhiều thứ hay ho như mặt nạ, mỹ phẩm minisize chỉ dưới 50k và 100k thôi. Ngoài ra các nàng chắc chắn còn săn được rất nhiều em son giá cũng chỉ dưới 100k. Bọn mình như kiểu cá gặp nước thì làm sao về tay không được bây giờ.

(y) Sheis.vn - cộng đồng làm đẹp với hàng triệu bí kíp biến bạn thành hotgirl sành điệu!","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/31402210_1670664403061083_3394360830676959232_n.jpg?_nc_cat=0&oh=e7308cc6a8ef2a4557babf35a282b520&oe=5BC0F7C8","https://www.facebook.com/FoodyVietnam/videos/1670598433067680/","Photos from Foody.vn's post","","video","2018-05-29T00:30:49+0000","203","677","38","8","2","1","0"
"Foody.vn","_210695369058001","210695369058001_1670682893059234","[UPDATE ngay Ver APP NOW 1.8.5 mới nhất để được giảm 20%]

Link đặt món: https://www.now.vn/
(Đặt món tại APP NOW ver 1.8.5, nhập mã NEWVERSION185 giảm 20%)

Nhanh tay cập nhật APP NOW ver 1.8.5 mới nhất để được giảm 20% với mã NEWVERSION185 nghen. Không ngại nắng, không ngại mưa giao tới tận tay các fan đầy đủ các món ăn ngon, trà sữa mát lạnh tuyệt đối hay những ổ bánh bông lan mềm mềm, mịn mịn... luôn nè! 
*Áp dụng quán 'verified merchant'
*Giảm tối đa 100k
-------------
Free Ship (tối đa 20k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/30852566_253118458763868_3962476594668240896_n.jpg?_nc_cat=0&oh=6d61cd32fc561405d0730aba9715a85a&oe=5BBC1B6C","https://www.facebook.com/FoodyVietnam/videos/1670682893059234/","UPDATE ngay Ver APP NOW 1.8.5 mới nhất để được giảm 20%","","video","2018-05-29T00:00:00+0000","2","66","9","0","1","0","0"
"Foody.vn","_210695369058001","210695369058001_1671106269683563","[Rẽ đôi sóng nước “CON ĐƯỜNG TRẮNG GIỮA BIỂN NHA TRANG” đẹp thần sầu cho chị em thả dáng]

Nơi đây có tên là: https://goo.gl/upyMB2 

🌊Đi đủ các bãi tắm trong xanh vời vợi cả trong lẫn ngoài nước rồi nhưng mấy ai đã có dịp đặt chân tới bãi tắm đôi có con đường giữa biển độc đáo nhất VN này chứ? Hỡi 500 anh chị em đang dành cả thanh xuân trong phòng gym để đổi lấy “body mùa hè”, còn chờ gì không thả dáng khoe thân hình nóng bỏng vạn người mê tại thiên đường có thật ngay giữa Nha Trang này đi!

Nguồn: TripNow.vn

Video: Amazing Things In VietNam
Pics: @phattttttt/ @leminh.2805/ @minhmitmit","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/30842262_1020463648160975_539166980041605120_n.jpg?_nc_cat=0&oh=be70e6376ee4e636dda7283bcffb3259&oe=5B8150A4","https://www.facebook.com/tripnow.vn/videos/1020463334827673/","TripNow.vn","[#TripWHERE - Rẽ đôi sóng nước “CON ĐƯỜNG TRẮNG GIỮA BIỂN NHA TRANG” đẹp thần sầu cho chị em thả dáng]

Nơi đây có tên là: https://goo.gl/upyMB2 

🌊Đi đủ các bãi tắm trong xanh vời vợi cả trong lẫn ngoài nước rồi nhưng mấy ai đã có dịp đặt chân tới bãi tắm đôi có con đường giữa biển độc đáo nhất VN này chứ? Hỡi 500 anh chị em đang dành cả thanh xuân trong phòng gym để đổi lấy “body mùa hè”, còn chờ gì không thả dáng khoe thân hình nóng bỏng vạn người mê tại thiên đường có thật ngay giữa Nha Trang này đi!

🌊Share nhiệt tình về tường để làm lời hứa với bản thân chắc chắn hè này phải tới đây vừa tận hưởng biển khơi vừa bắn con ảnh thần sầu nhé! #TripnowNhaTrang

---------------------------------

(y) TripNow.vn để vi vu khắp mọi miền đất VN!

Video: Amazing Things In VietNam
Pics: @phattttttt/ @leminh.2805/ @minhmitmit","video","2018-05-28T23:00:47+0000","235","630","46","5","1","0","0"
